@relation document

@attribute POS0 numeric
@attribute POS1 numeric
@attribute POS2 numeric
@attribute POS3 numeric
@attribute POS4 numeric
@attribute POS5 numeric
@attribute POS6 numeric
@attribute POS7 numeric
@attribute POS8 numeric
@attribute POS9 numeric
@attribute POS10 numeric
@attribute POS11 numeric
@attribute POS12 numeric
@attribute POS13 numeric
@attribute POS14 numeric
@attribute POS15 numeric
@attribute POS16 numeric
@attribute POS17 numeric
@attribute POS18 numeric
@attribute POS19 numeric
@attribute POS20 numeric
@attribute POS21 numeric
@attribute POS22 numeric
@attribute POS23 numeric
@attribute POS24 numeric
@attribute POS25 numeric
@attribute POS26 numeric
@attribute POS27 numeric
@attribute POS28 numeric
@attribute POS29 numeric
@attribute POS30 numeric
@attribute POS31 numeric
@attribute POS32 numeric
@attribute POS33 numeric
@attribute POS34 numeric
@attribute POS35 numeric
@attribute POS36 numeric
@attribute POS37 numeric
@attribute POS38 numeric
@attribute POS39 numeric
@attribute POS40 numeric
@attribute POS41 numeric
@attribute POS42 numeric
@attribute POS43 numeric
@attribute POS44 numeric
@attribute capital0 numeric
@attribute capital1 numeric
@attribute capital2 numeric
@attribute capital3 numeric
@attribute capital4 numeric
@attribute capital5 numeric
@attribute capital6 numeric
@attribute capital7 numeric
@attribute capital8 numeric
@attribute capital9 numeric
@attribute capital10 numeric
@attribute capital11 numeric
@attribute capital12 numeric
@attribute capital13 numeric
@attribute capital14 numeric
@attribute capital15 numeric
@attribute capital16 numeric
@attribute capital17 numeric
@attribute capital18 numeric
@attribute capital19 numeric
@attribute capital20 numeric
@attribute capital21 numeric
@attribute capital22 numeric
@attribute capital23 numeric
@attribute capital24 numeric
@attribute capital25 numeric
@attribute capital26 numeric
@attribute capital27 numeric
@attribute capital28 numeric
@attribute capital29 numeric
@attribute capital30 numeric
@attribute capital31 numeric
@attribute capital32 numeric
@attribute capital33 numeric
@attribute capital34 numeric
@attribute capital35 numeric
@attribute capital36 numeric
@attribute capital37 numeric
@attribute capital38 numeric
@attribute capital39 numeric
@attribute capital40 numeric
@attribute capital41 numeric
@attribute capital42 numeric
@attribute capital43 numeric
@attribute capital44 numeric
@attribute capital45 numeric
@attribute capital46 numeric
@attribute capital47 numeric
@attribute capital48 numeric
@attribute capital49 numeric
@attribute capital50 numeric
@attribute capital51 numeric
@attribute capital52 numeric
@attribute capital53 numeric
@attribute capital54 numeric
@attribute capital55 numeric
@attribute capital56 numeric
@attribute capital57 numeric
@attribute capital58 numeric
@attribute capital59 numeric
@attribute capital60 numeric
@attribute capital61 numeric
@attribute capital62 numeric
@attribute capital63 numeric
@attribute capital64 numeric
@attribute capital65 numeric
@attribute capital66 numeric
@attribute capital67 numeric
@attribute capital68 numeric
@attribute capital69 numeric
@attribute capital70 numeric
@attribute capital71 numeric
@attribute capital72 numeric
@attribute capital73 numeric
@attribute capital74 numeric
@attribute capital75 numeric
@attribute capital76 numeric
@attribute capital77 numeric
@attribute capital78 numeric
@attribute capital79 numeric
@attribute capital80 numeric
@attribute capital81 numeric
@attribute capital82 numeric
@attribute capital83 numeric
@attribute capital84 numeric
@attribute capital85 numeric
@attribute capital86 numeric
@attribute capital87 numeric
@attribute capital88 numeric
@attribute capital89 numeric
@attribute capital90 numeric
@attribute capital91 numeric
@attribute capital92 numeric
@attribute capital93 numeric
@attribute capital94 numeric
@attribute capital95 numeric
@attribute capital96 numeric
@attribute capital97 numeric
@attribute capital98 numeric
@attribute capital99 numeric
@attribute capital100 numeric
@attribute capital101 numeric
@attribute capital102 numeric
@attribute capital103 numeric
@attribute capital104 numeric
@attribute capital105 numeric
@attribute capital106 numeric
@attribute capital107 numeric
@attribute capital108 numeric
@attribute capital109 numeric
@attribute capital110 numeric
@attribute capital111 numeric
@attribute capital112 numeric
@attribute capital113 numeric
@attribute capital114 numeric
@attribute capital115 numeric
@attribute capital116 numeric
@attribute capital117 numeric
@attribute capital118 numeric
@attribute capital119 numeric
@attribute capital120 numeric
@attribute capital121 numeric
@attribute capital122 numeric
@attribute capital123 numeric
@attribute capital124 numeric
@attribute capital125 numeric
@attribute capital126 numeric
@attribute capital127 numeric
@attribute capital128 numeric
@attribute capital129 numeric
@attribute capital130 numeric
@attribute capital131 numeric
@attribute capital132 numeric
@attribute capital133 numeric
@attribute capital134 numeric
@attribute capital135 numeric
@attribute capital136 numeric
@attribute capital137 numeric
@attribute capital138 numeric
@attribute capital139 numeric
@attribute capital140 numeric
@attribute capital141 numeric
@attribute capital142 numeric
@attribute capital143 numeric
@attribute capital144 numeric
@attribute capital145 numeric
@attribute capital146 numeric
@attribute capital147 numeric
@attribute capital148 numeric
@attribute capital149 numeric
@attribute capital150 numeric
@attribute capital151 numeric
@attribute capital152 numeric
@attribute capital153 numeric
@attribute capital154 numeric
@attribute capital155 numeric
@attribute capital156 numeric
@attribute capital157 numeric
@attribute capital158 numeric
@attribute capital159 numeric
@attribute capital160 numeric
@attribute capital161 numeric
@attribute capital162 numeric
@attribute capital163 numeric
@attribute capital164 numeric
@attribute capital165 numeric
@attribute capital166 numeric
@attribute capital167 numeric
@attribute capital168 numeric
@attribute capital169 numeric
@attribute capital170 numeric
@attribute capital171 numeric
@attribute capital172 numeric
@attribute capital173 numeric
@attribute capital174 numeric
@attribute capital175 numeric
@attribute capital176 numeric
@attribute capital177 numeric
@attribute capital178 numeric
@attribute capital179 numeric
@attribute capital180 numeric
@attribute capital181 numeric
@attribute capital182 numeric
@attribute capital183 numeric
@attribute capital184 numeric
@attribute capital185 numeric
@attribute capital186 numeric
@attribute capital187 numeric
@attribute capital188 numeric
@attribute capital189 numeric
@attribute capital190 numeric
@attribute capital191 numeric
@attribute capital192 numeric
@attribute capital193 numeric
@attribute capital194 numeric
@attribute capital195 numeric
@attribute capital196 numeric
@attribute capital197 numeric
@attribute capital198 numeric
@attribute capital199 numeric
@attribute capital200 numeric
@attribute capital201 numeric
@attribute capital202 numeric
@attribute capital203 numeric
@attribute capital204 numeric
@attribute capital205 numeric
@attribute capital206 numeric
@attribute capital207 numeric
@attribute capital208 numeric
@attribute capital209 numeric
@attribute capital210 numeric
@attribute capital211 numeric
@attribute capital212 numeric
@attribute capital213 numeric
@attribute capital214 numeric
@attribute capital215 numeric
@attribute capital216 numeric
@attribute capital217 numeric
@attribute capital218 numeric
@attribute capital219 numeric
@attribute capital220 numeric
@attribute capital221 numeric
@attribute capital222 numeric
@attribute capital223 numeric
@attribute capital224 numeric
@attribute capital225 numeric
@attribute capital226 numeric
@attribute capital227 numeric
@attribute capital228 numeric
@attribute capital229 numeric
@attribute capital230 numeric
@attribute capital231 numeric
@attribute capital232 numeric
@attribute capital233 numeric
@attribute capital234 numeric
@attribute capital235 numeric
@attribute capital236 numeric
@attribute capital237 numeric
@attribute capital238 numeric
@attribute capital239 numeric
@attribute capital240 numeric
@attribute capital241 numeric
@attribute capital242 numeric
@attribute capital243 numeric
@attribute capital244 numeric
@attribute capital245 numeric
@attribute capital246 numeric
@attribute capital247 numeric
@attribute capital248 numeric
@attribute capital249 numeric
@attribute capital250 numeric
@attribute NE0 numeric
@attribute NE1 numeric
@attribute NE2 numeric

@data
0,2.3781212841854935E-4,0.006896551724137931,0.09548156956004757,0.023543400713436385,0.02366230677764566,0.052794292508917956,0.03079667063020214,0.014387633769322235,0.09072532699167657,0.06658739595719382,1.1890606420927467E-4,4.756242568370987E-4,0.07491082045184304,0.041617122473246136,8.323424494649227E-4,0.002259215219976219,9.512485136741974E-4,4.756242568370987E-4,0.14197384066587396,0.16682520808561235,0.0027348394768133173,0.0464922711058264,1.1890606420927467E-4,0.0032104637336504162,0.0017835909631391202,0.0020214030915576696,0.009750297265160524,5.945303210463733E-4,1.1890606420927467E-4,9.512485136741974E-4,1.1890606420927467E-4,0.010582639714625445,0,0.007847800237812128,0.019262782401902497,0.00915576694411415,0.026634958382877525,0.005469678953626635,0.007966706302021403,0.001426872770511296,7.13436385255648E-4,0,5.945303210463733E-4,0.006896551724137931,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0.0,0,0,0.6020599913279624,0,0.6020599913279624,0.49975494643319973,0,0,0,0,0,0.6020599913279624,0,0,0.0,0.0,0,0,0,0.0,0.3010299956639812,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0.3010299956639812,0,0,0,0.0,0,0,0.6020599913279624,0,0.6020599913279624,1.806179973983887,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0,0.6020599913279624,0,0,0,0,0,0.12493873660829993,0,0,0,0,0.6020599913279624,0,0,0,0.12493873660829993,0.0,0,0,9.632959861247398,0,0.0,0,0,0,0.0,0.6020599913279624,0,0,0,0,0,0.12493873660829993,0,0,0,0,0.6020599913279624,0,0,0,0.12493873660829993,0.0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0.6020599913279624,0.0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0.6020599913279624,0,0.6020599913279624,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0.12493873660829993,0,0,0,0,0,0,0.0,0.9030899869919435,0,0,0,0,0.12493873660829993,0.24987747321659987,0,0,0,0,0,0,0,0.6020599913279624,0.6020599913279624,0.12493873660829993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0,0.3010299956639812,0,0,0.0,0.3010299956639812,0,0,0,0,0,0,0,0.24987747321659987,0.6020599913279624,0,0.0,0.3010299956639812,0,0,0.6020599913279624,0,0,0,0,0.6020599913279624,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0,0,0.6020599913279624,0,0.6020599913279624,0,0,1.806179973983887,0,0,0,0.12493873660829993,0.6020599913279624,0.5622641509433962,0.11132075471698114,0.3264150943396226
6.715465717547512E-5,0.0014774024578604525,0.010476126519374119,0.10227654287824861,0.028540729299576927,0.028540729299576927,0.05009737425290444,0.03498757638842254,0.010207507890672218,0.08797260089987241,0.0413001141629172,2.0146397152642537E-4,0.0013430931435095023,0.05855886105701431,0.031495534215297834,4.7008260022832584E-4,0.0012759384863340272,4.7008260022832584E-4,0.0010744745148076019,0.145725606070781,0.23215364985561748,0.002820495601369955,0.037942381304143444,2.0146397152642537E-4,0.0018803304009133034,0.0014774024578604525,0.0018131757437378283,0.0063796924316701364,2.6861862870190047E-4,6.04391914579276E-4,2.0146397152642537E-4,0,0.006111073802968236,6.715465717547512E-5,0.007319857632126788,0.01913907729501041,0.006916929689073937,0.017258746894097107,0.003559196830300181,0.004969444630985159,0.0017460210865623532,4.0292794305285074E-4,0,4.7008260022832584E-4,0.009737425290443892,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.6020599913279624,0,1.4992648392995993,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0.0,0.0,0,0.6020599913279624,0.6020599913279624,0.0,0.3010299956639812,0.6020599913279624,0,0.6020599913279624,0,0,0.6020599913279624,0,0.6020599913279624,0,0,1.2041199826559248,0,0.6020599913279624,1.2041199826559248,0.0,0.6020599913279624,0.6020599913279624,0,0,0,0,0.6020599913279624,0.6020599913279624,0,0.6020599913279624,0,0,0,0,0,0,0,1.806179973983887,0,0.6020599913279624,0,0,0,0.9030899869919435,0,0,0,0,0,0,0.6020599913279624,20.739830276977788,0,0,0.9030899869919435,0,0,0.6020599913279624,0.6020599913279624,0,0,0.0,0.6020599913279624,0,0,0.6020599913279624,0.0,0,0.6020599913279624,0,0.0,0,0.6020599913279624,0,0.6020599913279624,0.6020599913279624,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6020599913279624,0,0.6020599913279624,0,0.6020599913279624,0,0,0,0,0,0,0.0,0.6020599913279624,0,0,0,0.6020599913279624,0.6020599913279624,0,0,0,0,0,1.2041199826559248,0,0.12493873660829993,0.6020599913279624,0,0,0,0,0,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0.12493873660829993,0.6020599913279624,0.6020599913279624,0,0,0,0,0.0,0,0,0,0,0,0.9995098928663995,0.49975494643319973,0,0,0,0.6020599913279624,0.6020599913279624,0,0,0,0,0.24987747321659987,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0.6020599913279624,0.6020599913279624,0,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0,0.0,0.3010299956639812,0,0,0.6020599913279624,1.2041199826559248,0,0,0,0.24987747321659987,0,0.6020599913279624,0.0,0,0,0,0,0.3010299956639812,0,2.4082399653118496,0.12493873660829993,0,1.2041199826559248,2.709269960975831,0.9030899869919435,0,0.3010299956639812,0,0,0,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0.6020599913279624,0,0,0,0,0.6020599913279624,0,0.6020599913279624,0.12493873660829993,0,0.41962616822429905,0.21401869158878506,0.3663551401869159
0,0,0.010514018691588784,0.12203076323987538,0.020200545171339564,0.020249221183800622,0.03538746105919003,0.021222741433021806,0.020103193146417446,0.047264408099688474,0.06352219626168225,0.0011195482866043613,0.0020443925233644858,0.0842095015576324,0.04984423676012461,8.761682242990654E-4,0.0016063084112149532,9.735202492211838E-5,0.002336448598130841,0.1461253894080997,0.15951129283489096,0.0026771806853582553,0.044587227414330216,1.9470404984423675E-4,0.0029692367601246105,0.007252725856697819,0.003309968847352025,0.016939252336448597,4.867601246105919E-4,3.894080996884735E-4,7.301401869158878E-4,9.735202492211838E-5,0.011633566978193146,9.735202492211838E-5,0.01134151090342679,0.020541277258566977,0.013921339563862928,0.022975077881619937,0.006230529595015576,0.009102414330218068,0.003553348909657321,0.0017523364485981308,4.867601246105919E-5,0.001314252336448598,0.00958917445482866,1.2041199826559248,0.6020599913279624,1.806179973983887,0,1.2041199826559248,3.010299956639812,0,0.3010299956639812,0.3010299956639812,0,0.0,0,0.6020599913279624,0,0,0,0,2.4082399653118496,0,0,0,0,0,0,0.6020599913279624,0.0,0.0,0,0,0,0.0,0,0,0,0,0,1.806179973983887,0,0,0,0.6020599913279624,0.6020599913279624,0,3.612359947967774,0,0,0.0,0,0,0,0.6020599913279624,0,0,0,0,1.2041199826559248,0,0,0.3010299956639812,0,0,0.6020599913279624,0.3010299956639812,0.6020599913279624,0,1.2041199826559248,0,0,0,0,0,2.4082399653118496,0,0,7.826779887263511,1.2041199826559248,0.3010299956639812,0,1.2493873660829993,1.2041199826559248,0,0,0,0,0,0,0.6020599913279624,0.24987747321659987,0.0,0,0,0,0,0.0,0.6020599913279624,0,0.6020599913279624,0.0,0,0,0,0,0,1.2041199826559248,2.7486522053825984,0.6020599913279624,0.6020599913279624,0.6020599913279624,0,0,0.3010299956639812,0.6020599913279624,0,0.12493873660829993,0.0,0,0,0,0,0,0.6020599913279624,0.6020599913279624,0,0,0,0,0.0,0,0,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0.6020599913279624,0,0,0.6020599913279624,0.12493873660829993,0,2.4082399653118496,0.6020599913279624,0,0,0,0,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0,0,0,0.6020599913279624,1.806179973983887,0,0.0,0,1.2041199826559248,0.6020599913279624,0,0.6020599913279624,0,0.12493873660829993,0.6020599913279624,0.6020599913279624,0.6020599913279624,0,0,0,1.2041199826559248,0,0,0.12493873660829993,3.010299956639812,0.6020599913279624,0,0,0.6020599913279624,0,0.6020599913279624,0,0,0,0,0.6020599913279624,0.6020599913279624,0.6020599913279624,0,0,0,0,0,0,0,0,0,0.6020599913279624,0.6020599913279624,0.0,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0.0,0.3010299956639812,0.6020599913279624,0.6020599913279624,0,0,0,0,1.2493873660829993,0,0,0,0.3010299956639812,0.6020599913279624,0.3010299956639812,0,0.6020599913279624,0.6020599913279624,0,0,0.6020599913279624,0,0,0,0,0,0,0.3010299956639812,0.6020599913279624,0,0,0.6020599913279624,0,0.12493873660829993,0,0.4259012016021362,0.17489986648865152,0.3991989319092123
0,0,0.00695282700014485,0.09367003041861813,0.01588527835449761,0.01598184539616629,0.03737144512577857,0.0215344502921153,0.026314518854714884,0.03761286272995027,0.08589638356428951,0.001013953937521124,0.0011588045000241417,0.0855101153976148,0.04944232533436338,0.0020761913958765874,0.0017864902708705519,6.759692916807493E-4,0.0070976775626478686,0.16850948771184396,0.10598232823137463,0.0014485056250301772,0.051035681521896574,1.448505625030177E-4,0.0036695475834097823,0.008159915021003331,0.005794022500120709,0.02674907054222394,6.276857708464101E-4,2.414176041716962E-4,0.0021244749167109267,2.414176041716962E-4,0.014147071604461397,4.828352083433924E-5,0.01912027425039834,0.010380956979382936,0.010091255854376901,0.028680411375597507,0.011829462604413114,0.026362802375549225,0.003428129979238086,0.001593356187533195,4.828352083433924E-5,0.002607310125054319,0.00695282700014485,0,0,0,0,0,0,0,0.3010299956639812,0.3010299956639812,0.6020599913279624,0.0,0.6020599913279624,0,0,0,0,0.24987747321659987,0,1.2041199826559248,1.2041199826559248,0,0.6020599913279624,0,0,0,0.0,0.0,0.6020599913279624,0,0,0.0,0,0,0.6020599913279624,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,0.3010299956639812,0,0.6020599913279624,0,0.3010299956639812,0,0,0,0,0.6020599913279624,0.6020599913279624,0.6020599913279624,0,0,0,0.6020599913279624,0,0,0.3010299956639812,0,0,0,2.4082399653118496,0.6020599913279624,0.6020599913279624,0,0,0,0,0.12493873660829993,0.0,0,0.6020599913279624,5.11750992628768,0,0.0,0.6020599913279624,0,0,0.0,0,0,0.6020599913279624,0,0,0,0.8745711562580996,0,0,0,0.6020599913279624,0,0.3010299956639812,0,0.6020599913279624,0.12493873660829993,0.0,0,0.6020599913279624,0,0,0,0,0,0.6020599913279624,0.6020599913279624,0.6020599913279624,0,0.0,0,0.6020599913279624,0.6020599913279624,0,0,0,0.6020599913279624,0,13.245319809215173,0,0,0,0,0.12493873660829993,0,0,0,0,0.6020599913279624,0,0,0,0,0,0.6020599913279624,0,0,0.12493873660829993,0,0,1.2041199826559248,0,0,1.2041199826559248,0.0,0.9030899869919435,0.3010299956639812,0,0.6020599913279624,0,0.12493873660829993,0,0,0,0,0,0,0.6020599913279624,0,0,0,0,0,0,0,0.6020599913279624,0,0,0,0.6020599913279624,0,0,2.4082399653118496,0,0,0,0,0.6020599913279624,0,0,0.6020599913279624,0.6020599913279624,0,0.6020599913279624,0.3010299956639812,0,0,0.0,0,0.6020599913279624,2.4082399653118496,0,0,0.6020599913279624,0.6020599913279624,0,0.24987747321659987,0,0,0.0,0,0,0,0,0.6020599913279624,0.6020599913279624,0,0.3748162098248998,0,0.3010299956639812,0,0,0,0,0,0,0,0,0,0,0.6020599913279624,1.2041199826559248,0,0,0,0,0.3010299956639812,0,0,0,0,0,0,0,0.46,0.11368421052631579,0.4263157894736842
